,Technology,Test_type,Data Speed(Mbps),Signal_strength
4895,3G,Upload,0.37,-81
4896,3G,Upload,0.02,-87
4903,3G,Upload,0.16,-65
4905,3G,Upload,0.0,-87
4921,3G,Upload,0.42,na
4924,3G,Upload,0.49,-79
4927,3G,Upload,0.0,-77
4928,3G,Upload,0.08,-75
4932,3G,Upload,0.62,-61
4933,3G,Upload,0.11,-57
4936,3G,Upload,0.11,-79
4939,3G,Upload,0.46,-77
4942,3G,Upload,1.5,-83
4947,3G,Upload,0.69,-65
4949,3G,Upload,0.72,-85
4950,3G,Upload,0.72,-77
4953,3G,Upload,1.34,-89
4959,3G,Upload,0.02,-89
4960,3G,Upload,0.7,-85
4965,3G,Upload,1.08,-97
4966,3G,Upload,0.17,na
4967,3G,Upload,0.72,-77
4970,3G,Upload,1.09,-91
4973,3G,Upload,0.14,-101
4974,3G,Upload,0.56,-69
4975,3G,Upload,0.66,-69
4976,3G,Upload,0.7,-73
4979,3G,Upload,0.66,-71
4980,3G,Upload,1.67,-71
4983,3G,Upload,1.04,-63
4984,3G,Upload,0.15,-81
4990,3G,Upload,0.24,-79
4991,3G,Upload,0.02,-75
4992,3G,Upload,1.5,-83
4995,3G,Upload,0.09,-59
4996,3G,Upload,1.83,-63
4997,3G,Upload,1.93,-63
5000,3G,Upload,1.88,-61
5003,3G,Upload,0.23,-85
5006,3G,Upload,1.17,-77
5007,3G,Upload,1.2,-73
5011,3G,Upload,0.33,-79
5012,3G,Upload,1.74,-63
5013,3G,Upload,2.0,-59
5018,3G,Upload,0.71,-65
5019,3G,Upload,1.91,-73
5022,3G,Upload,1.9,-59
5027,3G,Upload,1.64,-77
5028,3G,Upload,0.0,-89
5034,3G,Upload,2.55,-65
5035,3G,Upload,1.87,-67
5039,3G,Upload,1.24,-79
5041,3G,Upload,1.65,-79
5042,3G,Upload,1.26,-79
5046,3G,Upload,0.01,-57
5051,3G,Upload,0.07,-75
5052,3G,Upload,0.38,-65
5055,3G,Upload,0.04,-79
5058,3G,Upload,0.01,-85
5061,3G,Upload,0.06,-75
5064,3G,Upload,1.5,-59
5065,3G,Upload,1.22,-63
5068,3G,Upload,1.56,-73
5069,3G,Upload,1.64,-71
5073,3G,Upload,1.54,-89
5074,3G,Upload,2.6,-91
5077,3G,Upload,0.05,-99
5078,3G,Upload,0.48,-87
5081,3G,Upload,0.82,-87
5083,3G,Upload,1.02,-85
5084,3G,Upload,1.32,-75
5088,3G,Upload,0.8,-77
5089,3G,Upload,0.56,-77
5090,3G,Upload,0.12,-69
5092,3G,Upload,3.56,-67
5093,3G,Upload,3.33,-71
5096,3G,Upload,1.34,-63
5097,3G,Upload,1.54,-63
5102,3G,Upload,1.36,na
5103,3G,Upload,0.91,na
5104,3G,Upload,1.03,na
5105,3G,Upload,3.37,-79
5129,3G,Upload,1.45,-85
5130,3G,Upload,0.24,-87
5134,3G,Upload,0.28,-95
5135,3G,Upload,0.3,-91
5136,3G,Upload,1.04,-81
5139,3G,Upload,1.29,-65
5140,3G,Upload,0.42,-67
5141,3G,Upload,0.67,-65
5144,3G,Upload,1.86,-69
5145,3G,Upload,1.38,-73
5149,3G,Upload,0.53,-79
5150,3G,Upload,0.53,-83
5154,3G,Upload,1.56,-89
5155,3G,Upload,0.86,-85
5157,3G,Upload,1.76,-71
5158,3G,Upload,1.8,-63
5159,3G,Upload,1.76,-75
5163,3G,Upload,0.63,-85
5167,3G,Upload,1.84,-71
5168,3G,Upload,1.76,-67
5172,3G,Upload,0.9,-85
5173,3G,Upload,0.46,-93
5174,3G,Upload,1.54,-79
5178,3G,Upload,1.51,-63
5208,3G,Upload,1.78,-71
5209,3G,Upload,1.53,-63
5210,3G,Upload,1.78,-71
5222,3G,Download,0.98,-67
5226,3G,Upload,0.49,-67
5360,3G,Download,2.74,-67
5361,3G,Download,0.84,-67
5362,3G,Download,0.58,-79
5363,3G,Download,0.57,-77
5364,3G,Download,1.88,-69
